DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Faizabad	46	9	Uttar Pradesh	177	2511.0666666667
Basti	54	9	Uttar Pradesh	185	1066.2666666667
Gonda	52	9	Uttar Pradesh	183	1079.9333333333
Sant Kabir Nagar	55	9	Uttar Pradesh	186	268.7882352941
Gorakhpur	57	9	Uttar Pradesh	188	5301.2156862745
Maharajganj	56	9	Uttar Pradesh	187	53
Kushinagar	58	9	Uttar Pradesh	189	244
Deoria	59	9	Uttar Pradesh	190	754
Mau	61	9	Uttar Pradesh	192	1145.8117647059
Ballia	62	9	Uttar Pradesh	193	810.3058823529
Siwan	16	10	Bihar	218	247
Saran (chhapra)	17	10	Bihar	219	776.0431372549
Muzaffarpur	14	10	Bihar	216	2390
Gopalganj	15	10	Bihar	217	214
Purba Champaran	2	10	Bihar	204	565.9803921569
Pashchim Champaran	1	10	Bihar	203	400
Siddharth Nagar	53	9	Uttar Pradesh	184	115
Balrampur	51	9	Uttar Pradesh	182	633
Shrawasti	50	9	Uttar Pradesh	181	22
Bahraich	49	9	Uttar Pradesh	180	1219.7490196079
Kheri	22	9	Uttar Pradesh	153	1151
Sitapur	23	9	Uttar Pradesh	154	2059
Bara Banki	45	9	Uttar Pradesh	176	897
Lucknow	26	9	Uttar Pradesh	157	14667
Hardoi	24	9	Uttar Pradesh	155	1568
Rae Bareli	27	9	Uttar Pradesh	158	1522.705882353
Fatehpur	41	9	Uttar Pradesh	172	664.7843137255
Unnao	25	9	Uttar Pradesh	156	1363.5529411765
Kanpur Nagar	33	9	Uttar Pradesh	164	13678.8901960784
Kanpur Dehat	32	9	Uttar Pradesh	163	229.8705882353
Pilibhit	20	9	Uttar Pradesh	151	675
Bageshwar	8	5	Uttarakhand	63	0
Champawat	10	5	Uttarakhand	65	0
Pithoragarh	7	5	Uttarakhand	62	29
North	1	11	Sikkim	241	0
East	4	11	Sikkim	244	0
Jalpaiguri	2	19	West Bengal	328	2466.0039215686
Koch Bihar	3	19	West Bengal	329	652
Darjiling	1	19	West Bengal	327	2520.8117647059
South	3	11	Sikkim	243	0
West	2	11	Sikkim	242	0
Kishanganj	8	10	Bihar	210	187.9843137255
Uttar Dinajpur	4	19	West Bengal	330	426.1333333333
Purnia	9	10	Bihar	211	1077
Katihar	10	10	Bihar	212	457.8666666667
Araria	7	10	Bihar	209	237.031372549
Madhubani	5	10	Bihar	207	214
Sitamarhi	4	10	Bihar	206	164.2352941176
Darbhanga	13	10	Bihar	215	919
Sheohar	3	10	Bihar	205	5
Vaishali	18	10	Bihar	220	572.5529411765
Samastipur	19	10	Bihar	221	341.7176470588
Begusarai	20	10	Bihar	222	2280.5254901961
Khagaria	21	10	Bihar	223	121.4823529412
Saharsa	12	10	Bihar	214	350
Supaul	6	10	Bihar	208	38
Madhepura	11	10	Bihar	213	53
Bhagalpur	22	10	Bihar	224	1899.6117647059
